323906109,5083
323906108,5092
323905794,-1
323905699,4008
323905562,1359
323905263,-1
323905083,-1
323889586,3444
323104549,3412
317640078,-1
314759114,3169
312935932,3227
308102387,1389
299686704,3172
299530162,336
295829789,2638
289533692,3162
289344280,2724
288917328,2730
279197469,-1
279074238,3435
278735140,2584
273066724,1935
273066516,3176
273065472,2620
269953726,3432
266921945,2105
265211490,1752
263921100,1796
261245830,2203
256820412,2638
254748647,1271
250685505,1880
247896358,1816
243219709,1389
240186212,2086
225340590,2083
221273226,-1
220540703,1359
218932466,2858
213959236,1940
212817715,1987
165726117,2024
165725698,1034
155718081,-1
149685659,-1
135735468,-1
132743478,-1
132740543,4008
132739892,-1
130349048,874
129234983,-1
121570658,2633
100795420,2289
89780445,4256
89769925,-1
85295732,-1
66700261,4257
50640454,1033
46513328,4268
46512657,2025
43249324,-1
40342719,-1
39464093,-1
37986446,4258
37986403,2208
37986382,-1
37986352,-1
37986315,653
37986227,4284
37985943,4282
37950869,4272
37950723,4271
37950693,-1
37950669,1372
37950596,4263
37950440,-1
37950379,-1
37950090,-1
37950014,4275
37949591,4276
37949418,217
37949340,4267
37949064,4265
37948354,-1
8505180,4273
