323882229,3742
323882216,3733
323882211,3740
323882205,3709
323882195,3699
323882194,3694
323882185,3707
323882109,3681
323882103,3721
323882097,3666
323882007,3705
323881972,3725
323881617,3654
323881537,3712
323881509,3703
323881505,3664
323881451,3706
323881384,3708
323881364,3515
323881363,3667
323881238,3675
323881164,3663
323881148,3665
312253818,3298
308227914,3623
301337700,-1
301223659,3658
299729920,3037
296403050,3732
294533151,3704
263918731,2720
250433720,2483
248584531,3456
323882232,3741
